Date,Open,High,Low,Close,Adj Close,Volume
1990-09-27,8.610000,8.610000,8.610000,8.610000,2.323014,0
1990-09-28,8.710000,8.710000,8.710000,8.710000,2.349994,0
1990-10-01,8.960000,8.960000,8.960000,8.960000,2.417445,0
1990-10-02,9.020000,9.020000,9.020000,9.020000,2.433634,0
1990-10-03,8.920000,8.920000,8.920000,8.920000,2.406652,0
1990-10-04,8.900000,8.900000,8.900000,8.900000,2.401256,0
1990-10-05,8.880000,8.880000,8.880000,8.880000,2.395860,0
1990-10-08,8.910000,8.910000,8.910000,8.910000,2.403955,0
1990-10-09,8.680000,8.680000,8.680000,8.680000,2.341899,0
1990-10-10,8.540000,8.540000,8.540000,8.540000,2.304127,0
1990-10-11,8.350000,8.350000,8.350000,8.350000,2.252864,0
1990-10-12,8.430000,8.430000,8.430000,8.430000,2.274449,0
1990-10-15,8.480000,8.480000,8.480000,8.480000,2.287939,0
1990-10-16,8.370000,8.370000,8.370000,8.370000,2.258260,0
1990-10-17,8.420000,8.420000,8.420000,8.420000,2.271751,0
1990-10-18,8.640000,8.640000,8.640000,8.640000,2.331107,0
1990-10-19,8.720000,8.720000,8.720000,8.720000,2.352692,0
1990-10-22,8.840000,8.840000,8.840000,8.840000,2.385069,0
1990-10-23,8.870000,8.870000,8.870000,8.870000,2.393162,0
1990-10-24,8.880000,8.880000,8.880000,8.880000,2.395860,0
1990-10-25,8.810000,8.810000,8.810000,8.810000,2.376974,0
1990-10-26,8.670000,8.670000,8.670000,8.670000,2.339201,0
1990-10-29,8.570000,8.570000,8.570000,8.570000,2.312221,0
1990-10-30,8.590000,8.590000,8.590000,8.590000,2.317617,0
1990-10-31,8.560000,8.560000,8.560000,8.560000,2.309523,0
1990-11-01,8.570000,8.570000,8.570000,8.570000,2.312221,0
1990-11-02,8.760000,8.760000,8.760000,8.760000,2.363484,0
1990-11-05,8.900000,8.900000,8.900000,8.900000,2.401256,0
1990-11-06,8.870000,8.870000,8.870000,8.870000,2.393162,0
1990-11-07,8.740000,8.740000,8.740000,8.740000,2.358088,0
1990-11-08,8.780000,8.780000,8.780000,8.780000,2.368880,0
1990-11-09,8.940000,8.940000,8.940000,8.940000,2.412049,0
1990-11-12,9.170000,9.170000,9.170000,9.170000,2.474103,0
1990-11-13,9.190000,9.190000,9.190000,9.190000,2.479499,0
1990-11-14,9.280000,9.280000,9.280000,9.280000,2.503782,0
1990-11-15,9.190000,9.190000,9.190000,9.190000,2.479499,0
1990-11-16,9.100000,9.100000,9.100000,9.100000,2.455218,0
